,s1,s2,score_gold,rank_gold,score_WRD,rank_WRD,score_COS,rank_COS,score_ROTS4,rank_ROTS4,score_ROTSmean,rank_ROTSmean,SCORE_SELECTION,RANK_SELECTION
788,you are on the right path .,you 're on the right path .,5,1338,0.734883526,1173,0.855715329,1192,0.96359891,1136,0.90245317,1164,0.336598964,-93
1290,cia chief visits israel for syria talks,cia chief in israel to discuss situation in syria,5,1365,0.685580781,1063,0.716674123,838,0.866578892,936,0.783181432,891,0.33090288,-29
710,i don 't see why there should be any problem with this whatsoever .,i don 't see why that should be a problem .,5,1322,0.662184891,1021,0.759003689,942,0.87587779,961,0.805142667,932,0.330566999,-41
16,a baby panda goes down a slide .,a panda slides down a slide .,4.4,1188,0.628180062,938,0.765157021,959,0.898283506,1007,0.828222257,991,0.330095904,117
109,a man is cutting pieces of butter into a mixing bowl .,pieces of butter is added in the stand mixer .,3.6,927,0.462745394,486,0.598731828,538,0.69468845,592,0.642252579,559,0.327899678,160
168,a person is slicing onions .,someone is slicing an onion .,4.6,1224,0.713117209,1128,0.78474986,1012,0.912642538,1043,0.847875501,1051,0.327418007,-54
740,how do you do that ?,how to do that ?,5,1328,0.749984965,1207,0.903592803,1287,1.009557287,1213,0.956474169,1259,0.327307657,-68
649,this is not a good idea .,this sound like a very bad idea .,4,1081,0.45798165,473,0.691937954,784,0.738435932,672,0.708552266,725,0.326952259,87
97,someone typed on a keyboard .,someone is typing .,4.5,1217,0.547289343,725,0.720704799,847,0.796788082,803,0.758501524,845,0.325582022,34
719,it makes absolutely no difference .,"no , it makes no difference .",5,1323,0.719894125,1146,0.852797582,1185,0.949071535,1112,0.896432086,1152,0.325451362,-107
128,two men are fistfighting in a ring .,two men fistfight in a ring .,5,1288,0.748761165,1201,0.789338222,1025,0.931253547,1086,0.85931877,1075,0.324407706,-54
938,gillespie sent a letter to cbs president leslie moonves asking for a historical review or a disclaimer .,republican national committee chairman ed gillespie issued a letter friday to cbs television president leslie moonves .,3.6,943,0.488000885,562,0.584385067,504,0.698135621,601,0.632763982,535,0.32388529,136
1340,strong new quake hits shattered pak region,6.8 quake in shattered pakistan region,4.4,1215,0.559482409,754,0.675955562,737,0.779092251,766,0.721183059,760,0.32274653,41
428,"a wet , blond dog carries a stick on the shore .","the wet , brown dog has a stick in his mouth and is running in the sand next to the water .",3.6,935,0.442698756,434,0.632653599,623,0.741106281,678,0.682430651,650,0.322435083,299
190,a man pours rice into a pot .,a man is putting rice in a bowling pot .,4.2,1151,0.577652611,800,0.628999898,612,0.764457124,737,0.692695864,680,0.322261739,62
783,you answered your own question .,you pretty much answered your own question .,5,1337,0.730130883,1169,0.895336571,1271,1.026546544,1239,0.954186412,1254,0.321439459,38
1311,guatemalan court finds former dictator guilty of genocide,guatemala 's former leader found guilty of genocide,5,1366,0.583000403,817,0.680125631,750,0.79132261,794,0.72726251,772,0.319519188,21
1041,"on july 22 , moore announced he would appeal the case directly to the u.s. supreme court .",moore of alabama says he will appeal his case to the nation 's highest court .,3.75,980,0.472082099,509,0.577621888,493,0.683987237,556,0.624373425,519,0.318270486,110
869,i 've had this same problem .,i had this problem before .,4,1117,0.549295118,729,0.675094419,736,0.77069361,751,0.721018565,758,0.316997683,37
1310,greece suspends state broadcaster,greece to close state broadcaster to save money,4.2,1179,0.491577462,575,0.530231358,396,0.668149168,523,0.596807216,465,0.314489515,75
158,a man is playing a musical keyboard .,a man is playing a keyboard piano .,5,1293,0.790287193,1263,0.859090195,1200,0.981861289,1161,0.918089775,1197,0.314345191,-141
1015,"site finder has been visited 65 million times since its introduction , galvin said .","through sunday , sept . 21 , site finder has been visited over 65 million times by internet users .",3.8,1023,0.558197278,750,0.650948814,676,0.76029932,728,0.691902231,678,0.310255267,30
403,a small boy is building with some wooden blocks .,a small boy wearing a blue shirt stacks wooden blocks .,4,1063,0.494338023,584,0.603292613,551,0.703371069,614,0.64318198,563,0.309111503,93
111,the panda bear lay on the logs .,a panda is lying down .,3.6,928,0.365670859,296,0.53532726,403,0.603313608,420,0.568175672,416,0.305629097,141
525,a group of male construction workers repair railroad tracks on a cloudy day,a crew of workers working on a railroad track .,3.8,1009,0.419909344,387,0.652482257,681,0.688206157,568,0.664537789,615,0.304020712,68
1022,"the house has passed prescription-drug legislation in the last two sessions , but the senate has failed to do so .","the house has passed bills the past two congresses , but the senate has not .",3.4,881,0.441638851,432,0.612709402,567,0.681758436,550,0.644018783,567,0.302134874,101
232,a lady mixed up a meat mixture in bowl .,a woman is stirring meat in a bowl .,4,1048,0.574281957,789,0.658771291,695,0.767565993,743,0.706402408,718,0.302078738,2
566,people gathered in a room .,people gathered together in a room .,5,1308,0.747631512,1197,0.875611698,1234,1.03808994,1258,0.956070227,1258,0.30057691,85
413,one white boy and one black boy stand with arms around each other .,"two young boys , one white and one black , are standing with their arms around each other .",4.8,1263,0.740201105,1180,0.81703225,1107,0.9914105,1183,0.895383937,1150,0.299945645,79
602,a line of scooters are parking in the middle of a street .,a line of motor bikes are parked in the middle of a street .,4.4,1202,0.629123664,941,0.743948803,895,0.836441667,889,0.785970335,898,0.299810867,-58
172,a woman is dicing some peeled potatoes cut into thick strips .,a woman is chopping a peeled potato into slices .,4,1046,0.529375163,667,0.726733251,857,0.8220687,864,0.769432589,866,0.299754187,204
576,people getting their dirty clothes cleaned,people are getting their clothes cleaned .,5,1309,0.789117966,1261,0.901608731,1282,1.006641278,1208,0.940763379,1233,0.295990748,-127
1108,"in addition , primary care trusts ( pcts ) were given star ratings for the first time this year .",primary care trusts and mental health trusts have also been formally rated for the first time this year .,3.8,1025,0.529872372,671,0.651543617,680,0.78147302,771,0.708585353,726,0.295637971,191
1257,nobel prize winning author doris lessing dies,nobel laureate doris lessing dies at 94,4.6,1245,0.68717078,1068,0.813870247,1101,0.941710377,1104,0.870285634,1100,0.295538219,39
1358,more than 100 injured in texas plant blast,hundreds believed injured in texas fertiliser plant blast,4,1146,0.582870883,816,0.694989427,789,0.786650715,784,0.733187101,785,0.29544112,-37
1214,queen beatrix of the netherlands to abdicate for son,queen beatrix of the netherlands abdicates in favour of son,5,1364,0.771653388,1241,0.888865461,1259,1.022547549,1235,0.945939169,1242,0.294386053,-30
129,a person wipes butter on a tray .,a person is buttering a tray .,4.25,1182,0.537613323,696,0.625693472,595,0.728639873,656,0.673079898,631,0.29397295,21
283,a small bird sitting on a branch in winter .,a small bird perched on an icy branch .,4.2,1154,0.663888938,1023,0.719265119,845,0.841876796,894,0.775006011,874,0.29309235,-80
1227,nelson mandela in hospital for tests,south africa : mandela in hospital for tests,4.6,1243,0.688413786,1072,0.788337558,1021,0.955398575,1122,0.870539692,1101,0.292451507,151
1118,""" the economy , nonetheless , has yet to exhibit sustainable growth .",but the economy hasn 't shown signs of sustainable growth .,4.75,1254,0.56905443,778,0.681167368,755,0.770023068,749,0.72024787,755,0.289824339,-35
439,a man climbing a rock-face .,a man is climbing a rock wall .,4.6,1234,0.745658326,1192,0.791511985,1037,0.913272144,1045,0.845139167,1041,0.289373978,-139
1021,some 95 million americans -- half of all households -- invest in mutual funds .,about half of all u.s. households have money in mutual funds .,4.2,1170,0.608157811,888,0.752949168,922,0.856155309,914,0.793035798,915,0.286582403,18
404,a man and a woman walk with a white dog on a leash .,"a man , woman and dog walk down a paved road .",4,1064,0.593060549,845,0.694531352,787,0.786943741,785,0.735248208,787,0.286295582,-62
78,a machine is sharpening a pencil .,the machine shaved the end of the pencil .,3.8,988,0.540943931,706,0.58117989,498,0.703508014,615,0.64135068,557,0.284892206,26
765,there are two things to consider :,a couple things to consider :,5,1333,0.604945875,878,0.718020011,841,0.802958595,823,0.753239253,833,0.282951304,-73
418,the two dogs are playing in the yard .,two dogs are playing on the grass .,4.6,1229,0.716818737,1137,0.741960641,889,0.870380005,947,0.80534289,934,0.281980632,-132
558,there is a cook preparing food .,a cook is making food .,5,1307,0.645253722,976,0.788181919,1019,0.857682236,919,0.814943131,962,0.281928831,-157
992,"the new york senator 's new book , "" living history , "" appears a certain bestseller .","hillary clinton , the new york senator and former first lady , has a book out monday titled living history .",3.2,818,0.441320007,430,0.546764315,425,0.633904975,468,0.580556931,435,0.279725628,81
359,a gray cat laying on a brown table .,a grey cat lying on a wooden table .,4.2,1160,0.639825539,959,0.702015205,807,0.810270679,833,0.749926168,824,0.278700614,-100
62,someone is slicing an onion .,a woman is cutting onion .,3.8,986,0.565512337,770,0.671751284,725,0.7576313,721,0.71436914,738,0.277998978,-53
420,four children are playing on a trampoline .,four kids are jumping on a trampoline .,4.6,1230,0.661359253,1016,0.803308869,1069,0.87132842,951,0.836585348,1022,0.277988718,-183
1279,canada approves oil pipeline to the pacific coast,canadian government approves controversial oil pipeline to pacific,4.8,1275,0.718785999,1142,0.822624293,1118,1.010538023,1214,0.912752566,1188,0.277513662,168
702,how should i proceed about this ?,so how should i do this ?,4,1091,0.551574396,736,0.678463907,745,0.753485243,709,0.714963844,740,0.276932183,-63
350,a large pile of wooden items piled high .,a large pile of scrap wood .,3.8,1003,0.48762841,560,0.651445963,678,0.707812817,619,0.673499239,632,0.27655126,0
549,one person wields an umbrella .,one person is holding an umbrella .,4.4,1201,0.647969742,982,0.678754336,748,0.801233305,819,0.738879184,797,0.275742531,-92
499,a deer jumps a fence .,a deer is jumping over a fence .,5,1305,0.770835225,1240,0.873474038,1223,1.040569734,1262,0.955700501,1257,0.274551268,61
309,beer bottles ( -lrb- harp lager ) -rrb- lined up on the floor .,a row of beer bottles on the floor .,3.4,856,0.453365626,464,0.596757197,533,0.698261215,602,0.642934797,561,0.273354748,207
409,four children on stools in a diner .,four children sit on tall bar stools at a yellow and grey bar .,3.6,934,0.356930567,286,0.529144784,394,0.579376729,385,0.552061526,388,0.272678107,90
1102,"the driver of the truck escaped and is now being sought by the police , supoyo said .",but police say the driver of the truck has not been found and is wanted for questioning .,4,1132,0.561909444,765,0.726261836,855,0.819797211,858,0.762140665,850,0.272234299,96
1056,"now , with the agency 's last three shuttles grounded in the wake of the columbia disaster , that wait could be even longer .","with the remaining three shuttles grounded in the wake of the columbia accident , the rookies will have to wait even longer .",4.4,1205,0.701698646,1097,0.77298053,976,0.87284866,954,0.812964011,954,0.271018145,-165
1337,'fast & amp ; furious ' star paul walker dies in car crash,"paul walker dead : fast and furious star , 40 , killed in car crash",4.8,1280,0.763023677,1221,0.826017795,1125,0.990164628,1182,0.89692236,1153,0.270629271,18
859,there are a few things i think you should do .,there are a few minimally-effective things you can do at the personal level .,4,1116,0.425516113,398,0.562833518,456,0.62942682,457,0.589354809,449,0.270504008,60
471,a yellow car speeds along a snowy field .,a yellow car drives quickly in the snow .,4.4,1199,0.475188728,518,0.57152495,479,0.658368702,505,0.610782075,493,0.270023726,13
196,the people are lifting bags .,several people are carrying large bags .,3.75,972,0.504594392,610,0.632287188,621,0.703363071,613,0.665184977,617,0.269844563,-5
775,there are a few things you can do :,there are a couple things you can try .,5,1335,0.614669981,905,0.71768358,840,0.800814127,817,0.752225474,832,0.269274692,-111
842,i had the same problem as you .,i had the same issue .,4,1111,0.632115427,944,0.694922884,788,0.802956162,822,0.744263018,810,0.267049365,-88
135,a boy is playing a key-board .,a little boy is playing a keyboard .,4.8,1256,0.529911848,672,0.569063977,476,0.6830009,554,0.624634761,521,0.267025975,-40
497,a man steers a blue boat past brightly colored houses .,a man driving a blue boat passes by some colorful houses .,5,1304,0.528990859,666,0.59522329,529,0.694901403,593,0.637378132,546,0.265588657,-9
48,a boy studies a calendar .,a boy is looking at a calendar .,4.4,1190,0.687483252,1069,0.763323495,955,0.901858494,1018,0.831805365,1004,0.265476265,12
873,"not a direct answer to the question , but something to consider .","not a real answer to your question , but maybe it helps .",4,1118,0.469067081,498,0.612057766,566,0.673216368,533,0.639525897,550,0.265307888,2
831,you have a problem .,this is a big problem .,4,1107,0.514517552,627,0.702429398,810,0.740753764,676,0.718779734,752,0.264560579,-85
720,i think it 's fine to ask this question .,i think it is okay to ask the question .,5,1324,0.779647331,1251,0.86227577,1208,0.953124716,1119,0.902596776,1165,0.26432633,-221
1329,protests continue in tense ukraine capital,protests continue in ukraine 's capital,5,1371,0.764458078,1222,0.871104857,1217,1.050147071,1269,0.95202738,1251,0.264142923,99
862,i realized there is already an accepted answer but i figure i would add my 2 cents .,i know this is an old question but i feel i should add my 2 cents .,5,1353,0.568103622,774,0.653402925,685,0.742238024,684,0.687858859,669,0.2629695,-91
1158,"mursi takes oath of office , becomes egyptian president",morsi to take oath as first egypt civilian president,3.8,1027,0.494490857,585,0.645648714,655,0.701089439,611,0.666553308,619,0.262039307,-18
1030,"rich media doubled its share , increasing from 3 % in q2 2002 to 6 % in q2 2003 .","rich media interactive ad formats doubled their share from 3 % in second quarter of 2002 , to 6 % in the second quarter of 2003 .",3.75,979,0.560334876,759,0.655330803,688,0.762016015,731,0.702429685,710,0.260302291,15
140,a man plays a guitar .,a man is playing a guitar .,5,1292,0.824611587,1302,0.883922629,1247,1.016056648,1224,0.949082592,1246,0.259352488,-81
1035,"the dow jones industrial average .dji ended up 56.79 points , or 0.67 percent , at 8,588.36 -- its highest level since january 17 .","the dow jones industrial average ( $ dj : news , chart , profile ) rose 56 points , or 0.7 percent , to 8,588 .",3.6,950,0.476283744,525,0.56701837,468,0.65106538,494,0.60175523,473,0.258828647,-5
285,a brown duck and white duck stand on the grass .,brown and white ducks walking on green grass .,4.2,1155,0.605245708,879,0.701343227,805,0.782545614,776,0.735648638,790,0.258502293,-132
548,a girl is talking to her dad on a cellphone .,a girl is talking on her phone .,4.4,1200,0.667930834,1029,0.793859025,1044,0.900337146,1014,0.843555389,1035,0.257535848,-45
1063,"on health care , the ndp says there will be no privatization and no health-care premiums .",the new democrats also renewed their commitment to no health-care privatization and no premiums .,4.6,1241,0.585775353,828,0.722239268,850,0.782769204,777,0.747111188,817,0.257523788,-124
724,there 's not a lot you can do about that .,i 'm afraid there 's not really a lot you can do .,5,1325,0.559058419,751,0.746628941,905,0.781557175,772,0.756792417,841,0.257426991,-112
364,a philips flat-screen tv is shown with its two remote controls .,a phillips flat screen tv with two remote controls .,5,1299,0.766569374,1228,0.904471035,1289,1.036024933,1256,0.962722955,1269,0.256909726,-5
154,a man is picking up a tree .,a man is carrying a tree .,3.8,990,0.586583505,831,0.635662791,631,0.739494674,674,0.686865757,666,0.256743053,-114
262,a orange and white cat laying on a blanket in a black leather chair .,a ginger and white cat curled up and asleep on a leather chair .,3.8,995,0.578366408,802,0.677673371,742,0.763764635,736,0.717229204,746,0.256430951,-72
646,to give this an answer :,i 'll answer this question :,4,1078,0.480280521,543,0.640353162,646,0.688529228,569,0.663408734,609,0.256424772,-51
348,an elderly man works on his laptop at home .,older gentleman sitting on couch with laptop .,4.2,1159,0.385107837,324,0.531767079,398,0.586496737,397,0.558064727,396,0.256118559,72
961,"nonetheless , the open-source guru insisted , "" this attack was wrong , and it was dangerous to our goals . """,""" this attack was wrong , and it was dangerous to our goals , "" raymond said .",3.5,908,0.54644203,722,0.587363979,513,0.705951316,617,0.635943737,539,0.254291359,-1
952,"but in the first 30 seconds after young entered the ring , the family knew it was an uneven match , meyers said .","but in the first 30 seconds of the bout , family members knew it was an uneven match , jodie meyers , stacy young 's sister , said .",4.2,1168,0.661083543,1015,0.730030426,864,0.858052632,920,0.776655852,877,0.252780768,-39
1274,"state dept. issues wide travel alert , says terror attack possible","us issues global travel alert , cites al-qaida threat",3.8,1037,0.407218205,363,0.50581334,361,0.582643414,390,0.534595679,367,0.252255283,56
1352,israel confirms strike on syria targeted weapons,israel officials : strike on syria targeted weapons,5,1375,0.840816731,1315,0.885004666,1250,1.011007397,1215,0.93868513,1230,0.252163808,-135
745,it 's also a matter of taste .,it 's definitely just a matter of preference .,5,1329,0.473518877,513,0.625267379,594,0.673464605,535,0.64601361,574,0.248142953,-37
429,a man and a dog on rocks on a beach .,a man and dog on a rocky seashore .,4.6,1232,0.697600211,1088,0.727749002,859,0.835508269,887,0.774379131,872,0.245667324,-173
166,a guy is taking off his sunglasses .,a boy is removing his sunglasses .,3.8,991,0.499397467,598,0.560128623,449,0.652558767,498,0.604840157,479,0.245591443,-51
1294,firefighters battle forest fire in sw china,firefighters battling scrub fire in hokianga,3.4,899,0.449117893,453,0.626604421,599,0.699361594,606,0.659042385,598,0.245554496,160
1114,"the other 24 members are split between representatives of the securities industry and so-called "" public "" board members .","of the 24 directors who are not exchange executives , half are representatives of the securities industry and half are designated public members .",4,1135,0.584524347,823,0.744950626,900,0.812969955,841,0.768709475,865,0.244585116,-41
1105,"before thursday 's matinee , baker called a clubhouse meeting , concerned that the controversy had distracted the cubs .","baker called a pregame meeting , believing the the corked-bat episode had distracted the team .",3.4,887,0.416362268,378,0.494046169,346,0.576989003,380,0.528815394,359,0.24356957,36
486,the dog plays in the park .,the dog leaps over the fence in the park .,3.2,807,0.435926428,418,0.528263378,391,0.603773852,422,0.563949281,410,0.243357897,35
1338,air strike kills one man in syria 's hama,us drone strike kills eleven in pakistan,2.8,705,0.390130001,333,0.475780651,325,0.553554303,355,0.511830146,338,0.241197954,52
346,a green and white cargo plane taking of from an airport .,white and green commercial airliner taking off of runway .,3.6,933,0.55177283,737,0.609927449,561,0.700923552,609,0.648269007,577,0.240146824,-80
367,four people rowing down a river .,four people row a canoe in water .,4,1060,0.388533605,330,0.568055696,471,0.597398372,414,0.581641522,436,0.238207442,27
768,"well , i wouldn 't put it on my cv .",i wouldn 't put this job on my resume .,4,1099,0.666282614,1025,0.69044267,779,0.797000737,805,0.737552868,793,0.23727619,-194
1188,cheap generics no panacea for india ’ s poorest,cheap cancer drugs no cure for india 's poorest,3.8,1028,0.608272515,889,0.671908078,726,0.758570541,724,0.710890509,734,0.236960489,-167
1082,"he refused to reveal what percentage of flights carried sky marshals , or whether they would be increased .",he refused to say what percentage of domestic flights had security officers on board .,3.8,1024,0.413339328,371,0.50031522,353,0.575062818,376,0.529885537,363,0.236471088,28
845,it 's pretty much up to you .,it is up to you .,5,1348,0.394016783,338,0.521262689,383,0.575733026,378,0.543155834,376,0.236186581,35
767,"the wood probably isn 't rotten , it 's just worn out .",it 's just worn out and not safe .,3,748,0.383074282,319,0.454347235,298,0.536313089,330,0.490526555,318,0.23520466,43
1250,ferrer cruises into australian open quarter-finals,ferrer beats nishikori to advance to australian open quarterfinals,3.6,959,0.533960888,683,0.644821957,652,0.733153305,663,0.683823956,655,0.234910544,-9
